symbol,entryTime,exitTime,entryIso,exitIso,side,entryPrice,exitPrice,sl,tp1,tp2,tp3,pnlPct,resultR,exitReason,decision,score,groupA,groupB,groupC,primaryRR,marketMode,hourVn,l1,l2,l3,l4,l5a,l5b,l6,l7,l8,l9,l10,tradePlanValid,win
NEARUSDT,1784646000000,1784660400000,2026-07-21T15:00:00.000Z,2026-07-21T19:00:00.000Z,SHORT,1.9823367279022932,1.934,2.032239,1.876,1.83263,1.757777,2.4384,0.9686,TIMEOUT,VAO_TU_TIN,10.71,3.4375,3.9375,3.3333,2.13,RANGING,22,2,2,1.5,0,2,1.3,1.5,1.5,0,2,2,1,1
NEARUSDT,1784703600000,1784718000000,2026-07-22T07:00:00.000Z,2026-07-22T11:00:00.000Z,SHORT,1.928832684457302,1.886,1.975888,1.834722,1.787667,1.717084,2.2207,0.9103,TIMEOUT,VAO_TU_TIN,10.42,3.125,3.125,4.1667,2,RANGING,14,2,1,2,0,2,2,1,0,2,1,2,1,1
NEARUSDT,1784721600000,1784736000000,2026-07-22T12:00:00.000Z,2026-07-22T16:00:00.000Z,SHORT,1.909570599719882,1.888,1.963199,1.802314,1.748685,1.668243,1.1296,0.4022,TIMEOUT,CO_THE_VAO,9.77,3.125,2.0625,4.5833,2,RANGING,19,2,1,2,0,2,0.3,1,0,2,1.5,2,1,1
NEARUSDT,1784743200000,1784757600000,2026-07-22T18:00:00.000Z,2026-07-22T22:00:00.000Z,SHORT,1.8947297915816308,1.864,1.950069,1.784051,1.728712,1.645703,1.6219,0.5553,TIMEOUT,VAO_TU_TIN,10.1,2.8125,3.125,4.1667,2,RANGING,1,2,1,1.5,0,2,2,0,1,2,1,2,1,1
NEARUSDT,1784890800000,1784898000000,2026-07-24T11:00:00.000Z,2026-07-24T13:00:00.000Z,SHORT,1.8852595867589117,1.824525,1.915627,1.824525,1.794157,1.748606,3.2216,2,TP,SETUP_NGON,11.67,3.75,3.75,4.1667,2,RANGING,18,1.5,2,1.5,1,2,1,1.5,1.5,1.5,1.5,2,1,1
NEARUSDT,1784901600000,1784930400000,2026-07-24T14:00:00.000Z,2026-07-24T22:00:00.000Z,SHORT,1.8716938067227602,1.808,1.912262,1.790557,1.749989,1.689137,3.403,1.57,TIMEOUT,SETUP_NGON,12.5,3.125,4.375,5,2,TRENDING,21,2,1,2,0,2,2,1.5,1.5,2,2,2,1,1
NEARUSDT,1784941200000,1784955600000,2026-07-25T01:00:00.000Z,2026-07-25T05:00:00.000Z,SHORT,1.825987147912383,1.798,1.879071,1.719819,1.666736,1.58711,1.5327,0.5272,TIMEOUT,CO_THE_VAO,9.77,3.125,2.0625,4.5833,2,RANGING,8,2,1,2,0,2,0.3,1,0,1.5,2,2,1,1
NEARUSDT,1784966400000,1784980800000,2026-07-25T08:00:00.000Z,2026-07-25T12:00:00.000Z,SHORT,1.808494669571519,1.795,1.847106,1.731272,1.692661,1.634744,0.7462,0.3495,TIMEOUT,VAO_TU_TIN,10.52,3.125,2.8125,4.5833,2,RANGING,15,2,1,2,0,2,0,1.5,1,2,1.5,2,1,1
NEARUSDT,1785150000000,1785164400000,2026-07-27T11:00:00.000Z,2026-07-27T15:00:00.000Z,SHORT,1.8240377202630043,1.771,1.856419,1.759275,1.726894,1.678322,2.9077,1.6379,TIMEOUT,VAO_TU_TIN,10.6,4.2708,3,3.3333,2,RANGING,18,1.3333333333333333,2,1.5,2,2,0.3,1.5,1,0.5,1.5,2,1,1
NEARUSDT,1785168000000,1785175200000,2026-07-27T16:00:00.000Z,2026-07-27T18:00:00.000Z,SHORT,1.811535282433033,1.742408,1.846099,1.742408,1.707844,1.655999,3.816,2,TP,VAO_TU_TIN,10.73,3.125,3.4375,4.1667,2,TRENDING,23,2,1,2,0,2,0.5,1.5,1.5,1,2,2,1,1
NEARUSDT,1785200400000,1785214800000,2026-07-28T01:00:00.000Z,2026-07-28T05:00:00.000Z,SHORT,1.7493228666484355,1.666849,1.79056,1.666849,1.625611,1.563756,4.7146,2,TP,VAO_TU_TIN,11.25,3.125,3.125,5,2,TRENDING,8,2,1,2,0,2,1.5,1.5,0,2,2,2,1,1
NEARUSDT,1785218400000,1785232800000,2026-07-28T06:00:00.000Z,2026-07-28T10:00:00.000Z,SHORT,1.7173287317156791,1.675,1.774743,1.6025,1.545086,1.458965,2.4648,0.7373,TIMEOUT,CO_THE_VAO,9.58,3.125,3.125,3.3333,2,RANGING,13,2,1,2,0,2,0,1.5,1.5,1,1,2,1,1
NEARUSDT,1785243600000,1785272400000,2026-07-28T13:00:00.000Z,2026-07-28T21:00:00.000Z,SHORT,1.6876909758895635,1.653,1.726383,1.610307,1.571615,1.513577,2.0555,0.8966,TIMEOUT,VAO_TU_TIN,11.15,2.5,4.0625,4.5833,2,RANGING,20,2,0,2,0,2,2,1,1.5,2,1.5,2,1,1
NEARUSDT,1785312000000,1785326400000,2026-07-29T08:00:00.000Z,2026-07-29T12:00:00.000Z,SHORT,1.6303923532366753,1.584,1.681186,1.528805,1.478011,1.401821,2.8455,0.9133,TIMEOUT,CO_THE_VAO,9.48,3.125,3.4375,2.9167,2,TRENDING,15,2,1,2,0,2,2,1.5,0,0,1.5,2,1,1
NEARUSDT,1785463200000,1785477600000,2026-07-31T02:00:00.000Z,2026-07-31T06:00:00.000Z,SHORT,1.6565379288047553,1.656,1.698405,1.57,1.530937,1.468136,0.0325,0.0128,TIMEOUT,VAO_TU_TIN,10.92,3.125,3.625,4.1667,2.07,RANGING,9,1.5,2,1.5,0,2,1.3,1,1.5,1,2,2,1,1
NEARUSDT,1785488400000,1785502800000,2026-07-31T09:00:00.000Z,2026-07-31T13:00:00.000Z,SHORT,1.651174581050873,1.666,1.702252,1.54902,1.497942,1.421326,-0.8979,-0.2903,TIMEOUT,VAO_TU_TIN,10.83,3.4375,2.8125,4.5833,2,RANGING,16,2,2,1.5,0,2,1,1.5,0,2,1.5,2,1,0
NEARUSDT,1785564000000,1785578400000,2026-08-01T06:00:00.000Z,2026-08-01T10:00:00.000Z,SHORT,1.6614265466928482,1.656,1.713278,1.557724,1.505872,1.428095,0.3266,0.1047,TIMEOUT,VAO_TU_TIN,10.21,3.6458,2.8125,3.75,2,RANGING,13,1.3333333333333333,2,1.5,1,2,1,1.5,0,1.5,1,2,1,1
